utt_name,pesq,sdi,stoi,voicemos
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-eleven.wav,4.1443453,0.24148156,0.99161637,3.2864475
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-five.wav,3.6216369,0.31556183,0.93616027,3.313549
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-four.wav,3.758797,0.2967281,0.9716801,3.3432803
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-nine.wav,2.757471,0.67079055,0.91803104,2.3992903
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-one.wav,4.267098,0.14093167,0.99143004,3.2791874
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-seven.wav,3.7168171,0.3463196,0.93064,3.4402514
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-six.wav,3.9052181,0.18918866,0.9872572,3.4540281
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-ten.wav,3.8938363,0.27231625,0.9660875,3.196549
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-three.wav,4.079516,0.16294704,0.9873188,3.5229065
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-twelve.wav,4.4407196,0.15872659,0.99775404,3.4650838
/Users/iorife/Downloads/sorted-wavs/bible_to_male-Mos-two.wav,4.31755,0.22883984,0.98495305,3.4503145
/Users/iorife/Downloads/sorted-wavs/bible_to_male-ab-ref.wav,2.6186376,0.6848731,0.8807347,3.173451
/Users/iorife/Downloads/sorted-wavs/bible_to_male-ab-ten.wav,4.122133,0.2228459,0.9954927,3.4522307
/Users/iorife/Downloads/sorted-wavs/female-Ab-eight.wav,4.0425205,0.36304367,0.8963058,3.234108
/Users/iorife/Downloads/sorted-wavs/female-Ab-eleven.wav,4.0445623,0.32829162,0.9337388,3.8590803
/Users/iorife/Downloads/sorted-wavs/female-Ab-five.wav,3.8202434,0.44000477,0.88409084,3.170029
/Users/iorife/Downloads/sorted-wavs/female-Ab-four.wav,3.7051423,0.3476648,0.91543865,3.1335125
